npc_id,npc_name,zone,tameable
4728,Gritjaw Basilisk,Desolace,Can Be Tamed
4729,Hulking Gritjaw Basilisk,Desolace,Can Be Tamed
35409,Revitalized Basilisk,Desolace,Can Be Tamed
56650,Stoneskin Basilisk,The Jade Forest,Can Be Tamed
39186,Hellgazer,Tanaris,Can Be Tamed
168679,Fiendish Terrorwing,"Pridefall Hamlet & Decimated Crossroad, Revendreth",Can Be Tamed
168722,Terrorwing Pup,"Pridefall Hamlet & Decimated Crossroad, Revendreth",Can Be Tamed
156395,Starving Dredbat,"Grove of Terror & The Banewood, Revendreth",Can Be Tamed
156077,Fiendish Terrorwing,"Various Locations, Revendreth",Can Be Tamed
161206,Fanged Dredbat,"Chalice District, Revendreth",Can Be Tamed
159178,Dire Evedweller,"Dominance Keep, Revendreth",Can Be Tamed
168591,Ravenous Dreadbat,Sanguine Depths (Dungeon),Can Be Tamed
169154,Famished Fangling,"Grove of Terror, Revendreth",Can Be Tamed
161207,Fangling,"Chalice District, Revendreth",Can Be Tamed
157828,Ruinus Dredbat,"Muck Pool: Banewood, Revendreth",Can Be Tamed
158976,Shrieking Evedweller,"Dominance Keep, Revendreth",Can Be Tamed
178283,Scorched Dredbat,Revendreth,Can Be Tamed
163507,Fanged Dredbat,"Cinderwall, Revendreth",Can Be Tamed
163893,Fanged Dredbat,"Cinderwall, Revendreth",Can Be Tamed
164234,Fanged Dredbat,"Cinderwall, Revendreth",Can Be Tamed
157083,Stonewing Ravager,"The Upper Reaches, Torghast, Tower of the Damned (Dungeon)",Can Be Tamed
214162,The Ringing Death,"Brunwin's Terrace, The Ringing Deeps",Can Be Tamed
80242,Chillfang,"Frostcave, Frostfire Ridge",Can Be Tamed
87085,Rakkiri,"Southwind Cliffs, Frostfire Ridge",Can Be Tamed
75247,"Groyat, the Blind Hunter",Razorfen Kraul (Dungeon),Can Be Tamed
223167,Shacklefang Leafnose,"The Fangs & Rumshackle, Hallowfall",Can Be Tamed
225987,Underhang Bat,Hallowfall,Can Be Tamed
254690,Elder Mournbat,"Windrunner Village, Eversong Woods",Can Be Tamed
245900,Giant Bat,"Ruins of Deatholme, Eversong Woods",Can Be Tamed
254732,Giant Duskwing,"Windrunner Village, Eversong Woods",Can Be Tamed
242227,Nightshade Flutterer,"Windrunner Village, Eversong Woods",Can Be Tamed
75467,Cave Bat,Razorfen Kraul (Dungeon),Can Be Tamed
97895,Duskwing Shrieker,"Mucksnout Den, Highmountain",Can Be Tamed
96287,Great Cavernbat,"Neltharion's Vault, Highmountain",Can Be Tamed
126433,Bloodscreecher Wanderer,Nazmir,Can Be Tamed
128547,Redrock Screecher,"Redrock Mines, Vol'dun",Can Be Tamed
75466,Vile Bat,Razorfen Kraul (Dungeon),Can Be Tamed
79643,Frostwing Screecher,Frostfire Ridge,Can Be Tamed
80192,Icecave Bat,Frostfire Ridge,Can Be Tamed
123423,River Shrieker,"Razorjaw River, Nazmir",Can Be Tamed
126353,Woodland Bat,"Wayward Thicket, Drustvar",Can Be Tamed
250048,Ghostwing Screecher,"Windrunner Village, Eversong Woods",Can Be Tamed
236645,Shadetooth Bat,"Watha'nan Crypts, Eversong Woods",Can Be Tamed
250876,Terrinor,"Ruins of Deatholme, Eversong Woods",Can Be Tamed
249421,Venomous Mournbat,"Windrunner Village, Eversong Woods",Can Be Tamed
79895,Echo Hunter,"The Undergrowth, Spires of Arak",Can Be Tamed
92627,Rendrak,"Zorammarsh, Tanaan Jungle",Can Be Tamed
250047,Ghostwing Bat,"Windrunner Village, Eversong Woods",Can Be Tamed
251339,Ornery Winebat,"Goldenmist Village, Eversong Woods",Available to Undead Only
167351,Bat,Exile's Reach,Can Be Tamed
89788,Direwing Predator,"Zorammarsh, Tanaan Jungle",Can Be Tamed
1512,Duskbat,Tirisfal Glades,Can Be Tamed
1553,Greater Duskbat,Tirisfal Glades,Can Be Tamed
16355,Lesser Scourgebat,Ghostlands,Can Be Tamed
1513,Mangy Duskbat,Tirisfal Glades,Can Be Tamed
16353,Mistbat,Ghostlands,Can Be Tamed
16354,Vampiric Mistbat,Ghostlands,Can Be Tamed
23959,Darkclaw Bat,Howling Fjord,Can Be Tamed
59197,Canopy Screecher,Krasarang Wilds,Can Be Tamed
202341,Ancient Bat,Zul'Gurub (Dungeon),Can Be Tamed
50328,Fangor,Tirisfal Glades,Can Be Tamed
1554,Vampiric Duskbat,Tirisfal Glades,Can Be Tamed
8602,Monstrous Plaguebat,Eastern Plaguelands,Can Be Tamed
8600,Plaguebat,Eastern Plaguelands,Can Be Tamed
48456,Rabid Screecher,Felwood,Can Be Tamed
50329,Rrakk,"Splithoof Heights, Thousand Needles",Can Be Tamed
16175,Vampiric Shadowbat,"Servants' Quarters, Karazhan (Raid)",Can Be Tamed
26622,Drakkari Bat,Drak'Tharon Keep (Dungeon),Can Be Tamed
8601,Noxious Plaguebat,Eastern Plaguelands,Can Be Tamed
4861,Shrike Bat,Uldaman (Dungeon),Can Be Tamed
42338,Tainted Screecher,Blasted Lands,Can Be Tamed
8927,Dark Screecher,Blackrock Depths (Dungeon),Can Be Tamed
59984,Trained Jibberwing,Kun-Lai Summit,Can Be Tamed
16173,Shadowbat,Karazhan (Raid),Can Be Tamed
42523,Stone Bat,Deepholm,Can Be Tamed
16174,Greater Shadowbat,Karazhan (Raid),Can Be Tamed
10357,Ressan the Needler,Tirisfal Glades,Can Be Tamed
50330,Kree,Silverpine Forest,Can Be Tamed
11897,Duskwing,Eastern Plaguelands,Can Be Tamed
59235,Albino Canopy Screecher,Krasarang Wilds,Can Be Tamed
28233,Zul'Drak Bat,Zul'Drak,Can Be Tamed
61415,Giant Cave Bat,Mogu'shan Palace (Dungeon),Can Be Tamed
3868,Blood Seeker,Deepholm,Can Be Tamed
16180,Shadikith the Glider,"Servant's Quarters, Karazhan (Raid)",Can Be Tamed
213608,Tula'rhun the Wanderer,"Meandering Rootlands, The Emerald Dream",Can Be Tamed
207789,Agitated Bristlebruin,"Root-Bound Sanctuary, The Emerald Dream",Can Be Tamed
213539,Dreambellow Bristlebruin,"Meandering Rootlands, The Emerald Dream",Can Be Tamed
216697,Efflorescent Bristlebruin,Amirdrassil (Dragon Isles Zone),Can Be Tamed
212090,Elusive Blooming Brierhide,The Emerald Dream,Can Be Tamed
212070,Elusive Bramblehide Bristlebruin,The Emerald Dream,Can Be Tamed
212041,Elusive Bristlebruin,The Emerald Dream,Can Be Tamed
209614,Enraged Bristlebruin,"Sprigling Gloam, The Emerald Dream",Can Be Tamed
207619,Evergreen Bristlebruin,"Shoreline Roots & Viridescent Thicket, The Emerald Dream",Can Be Tamed
210045,Moragh the Slothful,"Whorlwing Basin, The Emerald Dream",Can Be Tamed
209616,Rampaging Bristlebruin,"Sprigling Gloam, The Emerald Dream",Can Be Tamed
211902,Thicket Bristlebruin,"Viridescent Thicket, The Emerald Dream",Can Be Tamed
211374,Verdant Bristlebruin,"Meandering Rootlands, The Emerald Dream",Can Be Tamed
210593,Verdant Bristlebruin,"Meandering Rootlands, The Emerald Dream",Can Be Tamed
210848,Cave Bristlebruin,"Whorlwing Basin, The Emerald Dream",Can Be Tamed
211141,Cragcoat Bristlebruin,"Twisting Wood, The Emerald Dream",Can Be Tamed
213542,Dreambellow Matriarch,"Meandering Rootlands, The Emerald Dream",Can Be Tamed
209936,Greedy Gessie,"Haven Cascades, The Emerald Dream",Can Be Tamed
210953,Serene Bristlebruin,"Root-Bound Sanctuary, The Emerald Dream",Can Be Tamed
210988,Astera,"Springrain River, The Emerald Dream",Can Be Tamed
210989,Astera,"Springrain River, The Emerald Dream",Can Be Tamed
210990,Astera,"Springrain River, The Emerald Dream",Can Be Tamed
192043,Frostjaw,"Winterpelt Hollow, The Azure Span",Can Be Tamed
193063,Frigidpelt Matriarch,"Slyvern Plunge, The Azure Span",Can Be Tamed
194103,Elusive Rimeclaw Bear,The Azure Span,Can Be Tamed
193062,Prowling Frigidpelt,"Slyvern Plunge, The Azure Span",Can Be Tamed
194171,Frostcoat Bear,"Vakthros Range, The Azure Span",Can Be Tamed
199354,Frostsnout Bear,The Azure Span,Can Be Tamed
195743,Roaming Frigidpelt,The Azure Span,Can Be Tamed
203976,Frostcoat Bear,"The Frosted Spine, The Forbidden Reach",Can Be Tamed
191535,Blackpaw Bear,"Shikaar Highlands, Ohn'ahran Plains",Can Be Tamed
197663,Grizzled Mauler,The Azure Span,Can Be Tamed
191199,Hillside Forager,"South Hold Gate, Thaldraszus",Can Be Tamed
191240,Hillside Forager,"Pleasant Hill, Thaldraszus",Can Be Tamed
189741,Lumbering Mauler,"Rebellious Cliffs, Thaldraszus",Can Be Tamed
192377,Mountainside Grizzly,"Wild Cliffs, Thaldraszus",Can Be Tamed
191665,Rumbling Blackpaw,"Sagecrest Pines, Ohn'ahran Plains",Can Be Tamed
197436,Shadehide Forager,"Shadow Ledge, Thaldraszus",Can Be Tamed
190663,Shadehide Mauler,"Tyrhold Reservoir, Thaldraszus",Can Be Tamed
194439,Thickmane Matriarch,The Azure Span,Can Be Tamed
195635,Time-Charged Bear,"The Flowing Forest, Thaldraszus",Can Be Tamed
197541,Coastal Grizzly,The Azure Span,Can Be Tamed
193125,Goremaul the Gluttonous,"Eclipse Lake, Thaldraszus",Can Be Tamed
193497,Shortcoat Bear,The Azure Span,Can Be Tamed
195197,Shortcoat Bear,The Azure Span,Can Be Tamed
193627,Shortcoat Bear,The Azure Span,Can Be Tamed
193673,Shortcoat Mauler,The Azure Span,Can Be Tamed
194224,Crazed Alpha,"Shifting Sands, Thaldraszus",Can Be Tamed
194035,Tundra Bear,The Azure Span,Can Be Tamed
195198,Shortcoat Mauler,The Azure Span,Can Be Tamed
197952,Valley Grizzly,The Azure Span,Available to Dwarves Only
167375,Bear,Exile's Reach,Can Be Tamed
51972,Black Bear,Dun Morogh,Can Be Tamed
1186,Black Bear,Loch Modan,Can Be Tamed
1225,Ol' Sooty,Loch Modan,Can Be Tamed
49249,Vicious Black Bear,Hillsbrad Foothills,Can Be Tamed
44016,Coalpelt Bear,Duskwood,Can Be Tamed
96146,Bristlefur Bear,"Fields of An'she, Highmountain",Can Be Tamed
97449,Bristlemaul,"Fields of An'she, Highmountain",Can Be Tamed
93095,Voracious Bear,"The Runewood, Stormheim",Can Be Tamed
130256,Amani Bear,"Tal'aman, Zuldazar",Can Be Tamed
5352,Old Grizzlegut,Feralas,Can Be Tamed
44473,Shaggy Black Bear,Western Plaguelands,Can Be Tamed
102385,Bristlefur Bear,"Fields of An'she, Highmountain",Can Be Tamed
109324,Mac the Bear,"Paledoom's Overlook, Azsuna",Can Be Tamed
92735,Resting Dauorbjorn,"Paledoom's Overlook, Azsuna",Can Be Tamed
142342,Vicious Black Bear,Arathi Highlands,Can Be Tamed
137835,Vicious Black Bear,Battle of Stromgarde (Warfront),Can Be Tamed
227255,Caverndeep Kodiak,Hallowfall,Can Be Tamed
227483,Caverndeep Kodiak,Hallowfall,Can Be Tamed
227954,Gloomcliff Grizzly,Hallowfall,Can Be Tamed
228875,Gloomcliff Grizzly,Hallowfall,Can Be Tamed
228876,Gloomcliff Matriarch,Hallowfall,Can Be Tamed
227484,Kodiak Cub,Hallowfall,Can Be Tamed
220059,Shadegrumble Bear,Hallowfall,Can Be Tamed
229060,Enraged Kodiak,Hallowfall,Can Be Tamed
227265,Kodiak Cub,Hallowfall,Can Be Tamed
250099,Amani Mauler,"Revantusk Sedge, Zul'Aman",Can Be Tamed
255752,Amani Mauler,"Spiritpaw Backwoods, Zul'Aman",Can Be Tamed
249359,Barkfur Bear,Eversong Woods,Can Be Tamed
250043,Eversong Mauler,Eversong Woods,Can Be Tamed
250044,Rageclaw Matriarch,Eversong Woods,Can Be Tamed
254815,Rageclaw Matriarch,Eversong Woods,Can Be Tamed
247504,Wandering Mauler,Eversong Woods,Can Be Tamed
17348,Elder Brown Bear,Bloodmyst Isle,Can Be Tamed
3809,Ashenvale Bear,Ashenvale,Can Be Tamed
90134,Llothien Grizzly,"The Greenway, Azsuna",Can Be Tamed
108499,Mountain Grizzly,"Rockaway Coast, Highmountain",Can Be Tamed
130085,Enthralled Ashclaw,"Fernwood Ridge, Tiragarde Sound",Can Be Tamed
126929,Monstrous Grizzly,"Clearspring Pass, Tiragarde Sound",Can Be Tamed
129002,Scruffhide Bear,"Westwind Weald, Tiragarde Sound",Can Be Tamed
26644,Ursus Mauler,Grizzly Hills,Can Be Tamed
40819,Pacified Hyjal Bear,Mount Hyjal,Can Be Tamed
255140,Veinripper Matriarch,"Spiritpaw Backwoods, Zul'Aman",Can Be Tamed
250098,Veinripper Matriarch,"Revantusk Sedge, Zul'Aman",Can Be Tamed
248374,Village Strongpaw,"Spiritpaw Borough, Zul'Aman",Can Be Tamed
1196,Ice Claw Bear,Dun Morogh,Can Be Tamed
2356,Elder Gray Bear,Hillsbrad Foothills,Can Be Tamed
97220,Arru,"Pinerock Basin, Highmountain",Can Be Tamed
93318,Ashmaw Mauler,Val'sharah,Can Be Tamed
93330,Gorecrazed Mauler,Val'sharah,Can Be Tamed
106467,Vale Bear,"Sylvan Vale, Val'sharah",Can Be Tamed
128093,Old Frostclaw,"Clearspring Pass, Tiragarde Sound",Can Be Tamed
5268,Ironfur Bear,Feralas,Can Be Tamed
