npc_id,npc_name,classification,classification_id,family_id,family_name,zone_id,react,action
85828,Blazing Mongrel,Normal,0,52,Hound,6662,[],update
88150,Untamed Mandragora,Elite,1,68,Hydra,6721,"[-1,-1]",add
88525,Reaver Pit Fodder,Normal,0,41,Aqiri,6755,"[-1,-1]",add
90517,Felbound Wolf,Normal,0,1,Wolf,6723,"[-1,-1]",add
97119,Shroud Hound,Normal,0,52,Hound,6731,"[-1,-1]",add
97163,Cursed Falke,Normal,0,26,Bird of Prey,7812,"[-1,-1]",add
99222,Cliffwing Hippogryph,Normal,0,160,Feathermane,7334,"[-1,-1]",add
112328,Canyon Soarer,Normal,0,26,Bird of Prey,7637,[],update
124262,Spiderling,Normal,0,3,Spider,8501,[],add
124683,Bonepicker Pup,Normal,0,25,Hyena,8501,"[-1,-1]",add
126893,Dune Beetle,Normal,0,53,Beetle,8501,"[0,0]",add
127268,Sickly Snapjaw,Normal,0,6,Crocolisk,8500,"[-1,-1]",add
136205,Coldtooth Howler,Normal,0,1,Wolf,9042,"[-1,-1]",add
137077,Gulch Beetle,Normal,0,53,Beetle,8501,"[0,0]",add
137836,Wild Horse,Normal,0,299,Courser,9439,"[0,0]",add
142016,Newstead Hound,Normal,0,52,Hound,45,"[1,-1]",add
144494,Coppertooth Pup,Normal,0,1,Wolf,8567,"[0,0]",add
148117,Grong,Elite,1,9,Gorilla,10076,"[null,-1]",add
152464,Caverndark Terror,Rare Elite,2,8,Crab,10052,"[-1,-1]",update
152836,Azerite Borer,Elite,1,55,Shale Beast,10524,"[-1,-1]",update
159016,Agitated Gorm,Normal,0,292,Carapid,11510,[],update
159218,Great Granitefur,Elite,1,128,Stone Hound,10413,[],update
159693,Enthralled Gorm,Normal,0,292,Carapid,11510,"[-1,-1]",add
159901,Boneweave Spiderling,Normal,0,3,Spider,11462,"[0,0]",add
159978,Great Granitefur,Elite,1,128,Stone Hound,10413,"[0,-1]",add
160786,Tower Shadehound,Normal,0,52,Hound,11400,[],update
161172,Gargantuan Seeker,Elite,1,52,Hound,11400,[],update
161256,Tomb Lurker,Normal,0,3,Spider,10413,"[-1,-1]",add
161763,Assassin,Normal,0,52,Hound,11400,[],update
162237,Plagueroc,Normal,0,26,Bird of Prey,13313,"[-1,-1]",add
162363,Temple Scarab,Normal,0,53,Beetle,5034,[],update
162624,Neonate Bonetooth,Normal,0,38,Chimaera,11462,[],update
164642,Bloodraged Spitter,Normal,0,292,Carapid,11510,[],update
164862,Weald Shimmermoth,Elite,1,37,Moth,13309,"[-1,-1]",add
165973,Warren Mongrel,Normal,0,52,Hound,11400,[],update
165974,Crucible Seeker,Normal,0,52,Hound,11400,"[-1,-1]",update
166966,Runestag,Normal,0,151,Stag,11510,[],update
166967,Juvenile Runedeer,Normal,0,151,Stag,11510,[],update
167111,Spinemaw Staghorn,Elite,1,292,Carapid,13334,"[-1,-1]",add
167113,Spinemaw Acidgullet,Elite,1,292,Carapid,13334,"[-1,-1]",add
167947,Tremaculum Soulhunter,Normal,0,52,Hound,11400,"[-1,-1]",update
167960,Gargantuan Seeker,Elite,1,52,Hound,11400,"[-1,-1]",update
168196,Virulent Pest,Normal,0,53,Beetle,11462,[],update
168533,Mawsworn Seeker,Normal,0,52,Hound,11400,"[-1,-1]",update
168584,Mawsworn Seeker,Normal,0,52,Hound,11400,"[-1,-1]",update
168737,Razorweb Matriarch,Elite,1,3,Spider,11462,"[-1,-1]",update
168837,Stealthling,Normal,0,3,Spider,13228,"[-1,-1]",add
168857,Stitched-Wing Hauler,Normal,0,26,Bird of Prey,11462,"[0,0]",add
169857,Monstrous Mawrat,Elite,1,127,Rodent,11400,"[-1,-1]",update
170161,Burning Fiend,Normal,0,52,Hound,11400,[],update
170192,Shade Hatchling,Normal,0,3,Spider,11462,[],update
170695,Runestag Bull,Normal,0,151,Stag,11510,[],update
172312,Spinemaw Gorger,Elite,1,292,Carapid,94197,"[-1,-1]",add
175255,Giant Mawrat,Normal,0,127,Rodent,11400,[],update
189722,Gulping Goliath,Elite,1,303,Lesser Dragonkin,14082,"[-1,-1]",add
191679,Magmammoth Bull,Elite,1,300,Mammoth,13644,"[-1,-1]",add
193311,Melkhop,Rare Elite,2,303,Lesser Dragonkin,13647,"[-1,-1]",add
194054,Mistbeetle,Normal,0,53,Beetle,13647,[],update
194079,Mature Riverbeast,Normal,0,150,Riverbeast,13644,"[0,0]",add
194568,Restless Slyvern,Normal,0,160,Feathermane,13645,"[-1,-1]",add
195268,Proud Plumecrest,Normal,0,160,Feathermane,13647,[],update
195448,Blazing Firesquall,Normal,0,26,Bird of Prey,13644,"[-1,-1]",add
198423,Cliffside Pollinator,Normal,0,53,Beetle,13647,"[0,0]",add
210410,Tortoise,Normal,0,21,Turtle,14529,[],update
213834,Candleclaw Mole,Normal,0,127,Rodent,14882,"[-1,-1]",update
215733,Deeps Larva,Normal,0,42,Worm,14795,"[-1,-1]",add
217417,Infested Jawgrub,Normal,0,42,Worm,14795,"[-1,-1]",add
224106,Hallowfall Bear,Normal,0,4,Bear,14838,[],update
224109,Hallowfall Matriarch,Normal,0,4,Bear,14838,[],update
224496,Hallowfall Bear,Normal,0,4,Bear,14838,[],update
225726,Heckler,Normal,0,25,Hyena,15347,"[-1,-1]",add
227201,Tidal Sandsnapper,Normal,0,8,Crab,14717,"[0,0]",add
228213,Tidewake Moray,Normal,0,35,Serpent,14838,"[-1,-1]",add
231316,Whitefeather Crane,Normal,0,125,Waterfowl,5736,[],update
231322,Lambent Waterstrider,Normal,0,126,Water Strider,5736,[],update
235414,Ravenous Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
236640,Dustseeker Spiderling,Normal,0,3,Spider,15968,"[0,0]",update
236645,Shadetooth Bat,Normal,0,24,Bat,15968,"[0,0]",update
237282,Lil' Skipper,Normal,0,291,Hopper,15347,"[-1,-1]",add
237753,Void Stalker,Normal,0,32,Warp Stalker,16505,"[-1,-1]",add
238162,Trench Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
238369,Whipwind Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
238488,Seething Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
240089,Trench Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
240416,Hot-Headed Lynx,Normal,0,2,Cat,15968,"[-1,-1]",add
240737,Trench Stalker,Normal,0,315,Whiptails,15458,"[-1,-1]",add
242374,Void Crawler,Normal,0,292,Carapid,15336,"[0,0]",add
242998,Mourning Warlynx,Normal,0,2,Cat,14838,"[1,null]",add
243264,Seething Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
243658,Void-Yoked Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
243864,Voidfang,Normal,0,315,Whiptails,15458,"[-1,-1]",add
244617,Shredclaw Packhunter,Normal,0,315,Whiptails,15458,"[-1,-1]",add
244945,Rampant Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
247559,Den-Gorger Zitoc,Normal,0,315,Whiptails,15458,"[-1,-1]",add
247807,Prowling Griefshredder,Normal,0,315,Whiptails,15958,"[-1,-1]",add
248016,Grafted Shredder,Normal,0,315,Whiptails,15958,"[-1,-1]",add
248447,Kilivore Drone,Normal,0,31,Ravager,15458,[],update
248448,Territorial Consumptor,Normal,0,42,Worm,15458,[],update
248741,Rhazul,Rare,4,315,Whiptails,15355,"[-1,-1]",add
250124,Plump Chitterfang,Normal,0,127,Rodent,3805,[],update
250545,Stalking Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
250633,Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
250637,Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
252107,Encroaching Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
252108,Encroaching Packleader,Normal,0,315,Whiptails,15458,"[-1,-1]",add
252466,Razorshell Ravager,Normal,0,31,Ravager,16596,[],add
254576,Stalking Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
254577,Spiteful Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
255354,Starving Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
256609,Voracious Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
256770,Bilemaw the Gluttonous,Rare,4,315,Whiptails,15458,"[-1,-1]",add
256914,Lightmad Saptor,Normal,0,11,Raptor,15968,[],update
257127,Barbtooth Bloodtracker,Elite,1,,Whiptail,16542|16595,[],add
257240,Ripfang Stalker,Normal,0,315,Whiptails,15458,"[-1,-1]",add
257241,Ripfang Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
257244,Vicious Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
257246,Roaming Shredclaw,Normal,0,315,Whiptails,15458,"[-1,-1]",add
257740,Infested Shredclaw,Normal,0,315,Whiptails,15458,"[0,0]",add
257765,Insatiable Consumptor,Normal,0,42,Worm,15458,[],update
258073,Tusksplitter Boar,Normal,0,5,Boar,3805,[],update
30423,Disembodied Jormungar,Normal,0,42,Worm,67,[],update
69562,Nalak,Elite,1,303,Lesser Dragonkin,6677,"[-1,-1]",update
255709,Reinfused Felwyrm,Normal,0,35,Serpent,16091,[],update
255957,Corrupted Ray,Normal,0,34,Ray,16796,[],update
260988,Frost Crawler,Normal,0,3,Spider,16900,[],update
261085,Invasive Crystalback,Normal,0,20,Scorpid,16900,[],update
261981,Rime Worm,Normal,0,42,Worm,16900,[],update
