npc_id,npc_name,zone,family,name_keeper,notes,taming_requirements
1688,Night Web Matriarch,Tirisfal Glades,Spider,,,
1689,Scarred Crag Boar,Dun Morogh,Boar,,,
1693,Loch Crocolisk,Loch Modan,Crocolisk,,,
1713,Elder Shadowmaw Panther,The Cape of Stranglethorn,Cat,,,
1765,Worg,Silverpine Forest,Wolf,,,
1766,Rabid Worg,Silverpine Forest,Wolf,,,
1778,Ferocious Grizzled Bear,Silverpine Forest,Bear,,,
1780,Skitterweb Striker,Silverpine Forest,Spider,,Found at the Skittering Dark cave in the northwest of Silverpine.,
1781,Skitterweb Lurker,Silverpine Forest,Spider,,Found at the Skittering Dark cave in the northwest of Silverpine.,
1797,Giant Rabid Bear,Silverpine Forest,Bear,,,
1815,Diseased Black Bear,Western Plaguelands,Bear,,,
1817,Diseased Wolf,Western Plaguelands,Wolf,,,
1822,Venom Mist Lurker,Western Plaguelands,Spider,,,
1824,Plague Lurker,Western Plaguelands,Spider,,,
1922,Gray Forest Wolf,Elwynn Forest,Wolf,,,
1961,Mangeclaw,Dun Morogh,Bear,True,,
1984,Young Thistle Boar,Teldrassil,Boar,,,
1985,Thistle Boar,Teldrassil,Boar,,,
1986,Webwood Spider,Teldrassil,Spider,,,
1994,Githyiss the Vile,Teldrassil,Spider,True,,
1995,Strigid Owl,Teldrassil,Bird of Prey,,,
1996,Strigid Screecher,Teldrassil,Bird of Prey,,,
1997,Strigid Hunter,Teldrassil,Bird of Prey,,,
1998,Webwood Lurker,Teldrassil,Spider,,,
1999,Webwood Venomfang,Teldrassil,Spider,,,
2000,Webwood Silkspinner,Teldrassil,Spider,,,
2001,Giant Webwood Spider,Teldrassil,Spider,,,
2031,Young Nightsaber,Teldrassil,Cat,,,
2032,Mangy Nightsaber,Teldrassil,Cat,,,
2033,Elder Nightsaber,Teldrassil,Cat,,,
2034,Feral Nightsaber,Teldrassil,Cat,,,
2042,Nightsaber,Teldrassil,Cat,,,
2043,Nightsaber Stalker,Teldrassil,Cat,,,
2071,Moonstalker Matriarch,Darkshore,Cat,,,
2098,Ram,Loch Modan; Wetlands; Arathi Highlands,Gruffhorn,,"The Ram will try to run away when you start taming, so a Freezing Trap may be handy. In the Wetlands it can be found on peaks just north of Dun Algaz and terraced slopes south-east of Menethil Harbor. In Loch Modan it can be found sporadically in many places, especially in grassy areas close to the mountain borders. In the Arathi Highlands it can be found on a remote dwarven farm by the sea, beyond the eastern mountain border. but only in its original (pre-Battle for Azeroth) phase.",
2165,Grizzled Thistle Bear,Darkshore,Bear,,,
2172,Strider Clutchmother,Darkshore,Tallstrider,True,,
2175,Shadowclaw,Darkshore,Cat,True,,
2233,Encrusted Tide Crawler,Darkshore,Crab,,,
2237,Moonstalker Sire,Darkshore,Cat,,,
2321,Foreststrider Fledgling,Darkshore,Tallstrider,,,
2349,Domesticated Creeper,Hillsbrad Foothills,Spider,,,
2350,Forest Creeper,Hillsbrad Foothills; Old Hillsbrad Foothills (Dungeon),Spider,,Located in Hillsbrad Foothills; Old Hillsbrad Foothills (Dungeon).,
2354,Vicious Gray Bear,Old Hillsbrad Foothills (Dungeon),Bear,,Located in Old Hillsbrad Foothills (Dungeon).,
2356,Elder Gray Bear,Hillsbrad Foothills,Bear,,,
2385,Foothill Stalker,Hillsbrad Foothills; Old Hillsbrad Foothills (Dungeon),Cat,,Located in Hillsbrad Foothills; Old Hillsbrad Foothills (Dungeon).,
2408,Snapjaw,Hillsbrad Foothills; Old Hillsbrad Foothills (Dungeon),Turtle,,Located in Hillsbrad Foothills; Old Hillsbrad Foothills (Dungeon).,
2462,Flesh Eating Worm,Duskwood,Worm,,Spawns when Rotted Ones are killed. You must be very fast to tame it before it dies! Will still die after taming.,Exotic
2476,Gosh-Haldir <The Clutch Mother>,Loch Modan,Crocolisk,True,Spawns on what used to be the crocolisk island in the southern part of the dried-up loch.,
2505,Saltwater Snapjaw,The Hinterlands,Turtle,,,
2521,Skymane Gorilla,The Cape of Stranglethorn,Gorilla,,,
2522,Jaguero Stalker,The Cape of Stranglethorn,Cat,,,
2544,Southern Sand Crawler,The Cape of Stranglethorn,Crab,,,
2559,Highland Strider,Arathi Highlands,Raptor,,,
2560,Highland Thrasher,Arathi Highlands,Raptor,,,
2561,Highland Fleshstalker,Arathi Highlands,Raptor,,,
2563,Plains Creeper,Arathi Highlands,Spider,,,
2565,Giant Plains Creeper,Arathi Highlands,Spider,,,
2578,Young Mesa Buzzard,Arathi Highlands,Carrion Bird,,,
2579,Mesa Buzzard,Arathi Highlands,Carrion Bird,,,
2580,Elder Mesa Buzzard,Arathi Highlands,Carrion Bird,,,
2635,Elder Snapjaw Crocolisk,Northern Stranglethorn,Crocolisk,,,
2658,Razorbeak Gryphon,The Hinterlands,Feathermane,,Friendly to Alliance.,Feathermane
2680,Vilebranch Wolf Pup,The Hinterlands,Wolf,,,
2681,Vilebranch Raiding Wolf,The Hinterlands,Wolf,,,
2728,Feral Crag Coyote,Badlands,Wolf,,,
2729,Elder Crag Coyote,Badlands,Wolf,,,
2730,Rabid Crag Coyote,Badlands,Wolf,,,
2731,Ridge Stalker,Badlands,Cat,,,
2732,Ridge Huntress,Badlands,Cat,,,
2734,Ridge Stalker Patriarch,Badlands,Cat,,,
2753,Barnabus,Badlands,Wolf,True,,
2829,Starving Buzzard,Badlands,Carrion Bird,,,
2830,Parched Buzzard,Badlands,Carrion Bird,,,
2831,Giant Buzzard,Badlands,Carrion Bird,,,
2850,Broken Tooth,Badlands,Cat,True,,
2923,Mangy Silvermane,The Hinterlands,Wolf,,,
2924,Silvermane Wolf,The Hinterlands,Wolf,,,
2925,Silvermane Howler,The Hinterlands,Wolf,,,
2926,Silvermane Stalker,The Hinterlands,Wolf,,,
2931,Zaricotl,Badlands,Carrion Bird,True,,
2955,Plainstrider,Mulgore,Tallstrider,,,
2956,Adult Plainstrider,Mulgore,Tallstrider,,,
2957,Elder Plainstrider,Mulgore,Tallstrider,,,
2958,Prairie Wolf,Mulgore,Wolf,,,
2959,Prairie Stalker,Mulgore,Wolf,,,
2960,Prairie Wolf Alpha,Mulgore,Wolf,,,
2966,Young Battleboar,Mulgore,Boar,,,
2969,Wiry Swoop,Mulgore,Carrion Bird,,,
2970,Swoop,Mulgore,Carrion Bird,,,
2971,Taloned Swoop,Mulgore,Carrion Bird,,,
2972,Kodo Calf,Mulgore,Scalehide,,,
2973,Kodo Bull,Mulgore,Scalehide,,,
2974,Kodo Matriarch,Mulgore,Scalehide,,,
3035,Flatland Cougar,Mulgore,Cat,,,
3056,Ghost Howl,Mulgore,Wolf,,Spawns rarely though not classed as a rare.,
3058,Arra'chea,Mulgore,Scalehide,True,,
3068,Mazzranache,Mulgore,Tallstrider,True,,
3098,Mottled Boar,Durotar,Boar,,,
3099,Dire Mottled Boar,Durotar,Boar,,,
3100,Elder Mottled Boar,Durotar,Boar,,,
3106,Surf Crawler,Durotar,Crab,,,
3107,Mature Surf Crawler,Durotar,Crab,,,
3108,Encrusted Surf Crawler,Durotar,Crab,,,
3110,Dreadmaw Crocolisk,Durotar,Crocolisk,,,
3122,Bloodtalon Taillasher,Durotar,Raptor,,,
3123,Bloodtalon Scythemaw,Durotar,Raptor,,,
3124,Scorpid Worker,Durotar,Scorpid,,,
3125,Clattering Scorpid,Durotar,Scorpid,,,
3126,Armored Scorpid,Durotar,Scorpid,,,
3127,Venomtail Scorpid,Durotar,Scorpid,,,
3234,Lost Barrens Kodo,Northern Barrens,Scalehide,,,
3236,Barrens Kodo,Northern Barrens,Scalehide,,,
3240,Stormsnout,Southern Barrens,Scalehide,,,
3241,Savannah Patriarch,Northern Barrens,Cat,,,
3242,Zhevra Runner,Northern Barrens,Courser,,,
3243,Savannah Highmane,Northern Barrens,Cat,,,
3244,Greater Plainstrider,Northern Barrens,Tallstrider,,,
3245,Ornery Plainstrider,Northern Barrens,Tallstrider,,,
3246,Fleeting Plainstrider,Northern Barrens,Tallstrider,,,
3248,Barrens Giraffe,Southern Barrens; Northern Barrens,Stag,,,
3252,Silithid Swarmer,Southern Barrens,Aqiri,,,Exotic
3253,Silithid Harvester,Southern Barrens,Beetle,True,,
3254,Sunscale Lashtail,Northern Barrens,Raptor,,,
3255,Sunscale Screecher,Northern Barrens,Raptor,,,
3256,Sunscale Scytheclaw,Northern Barrens,Raptor,,,
3281,Sarkoth,Durotar,Scorpid,True,,
3398,Gesharahan,Northern Barrens,Hydra,True,,
3415,Savannah Huntress,Northern Barrens,Cat,,,
3416,Savannah Matriarch,Northern Barrens,Cat,,,
3425,Savannah Prowler,Northern Barrens,Cat,,,
3426,Zhevra Charger,Northern Barrens; Southern Barrens,Courser,,,
3461,Oasis Snapjaw,Northern Barrens,Turtle,,,
3462,Elder Barrens Giraffe,Northern Barrens,Stag,,,
3475,Echeyakee,Northern Barrens,Cat,True,,
3566,Flatland Prowler,Mulgore,Cat,,,
3581,Sewer Beast,Stormwind City,Crocolisk,True,,
3619,Ghost Saber,Darkshore,Cat,,"This cat remains ghostly after it is tamed! To summon a Ghost Saber you have to find and click on Cat Figurines around the Ruins of Mathystra, until one appears.",
3630,Deviate Coiler,Wailing Caverns (Dungeon),Wind Serpent,,Located outside the Wailing Caverns (Dungeon).,
3631,Deviate Stinglash,Wailing Caverns (Dungeon),Wind Serpent,,Located outside the Wailing Caverns (Dungeon).,
3632,Deviate Creeper,Wailing Caverns (Dungeon),Raptor,,Located outside the Wailing Caverns (Dungeon).,
3633,Deviate Slayer,Wailing Caverns (Dungeon),Raptor,,Located outside the Wailing Caverns (Dungeon).,
3634,Deviate Stalker,Wailing Caverns (Dungeon),Raptor,,Located outside the Wailing Caverns (Dungeon).,
3636,Deviate Ravager,Wailing Caverns (Dungeon),Raptor,,Located in Wailing Caverns (Dungeon).,
3637,Deviate Guardian,Wailing Caverns (Dungeon),Raptor,,Located in Wailing Caverns (Dungeon).,
3652,Trigore the Lasher,Wailing Caverns (Dungeon),Hydra,True,Located outside the Wailing Caverns (Dungeon).,
3653,Kresh,Wailing Caverns (Dungeon),Turtle,True,"Located in Screaming Gully, Wailing Caverns (Dungeon). Kresh wanders the watery channel in the first section of the dungeon, just down from the entrance.",
3680,Serpentbloom Snake,Wailing Caverns (Dungeon),Serpent,,"Located in Wailing Caverns (Dungeon). To get this snake to spawn you must have the quest Preemptive Methods, which is a one-time quest offered by Nalpak just inside the dungeon entrance. A Serpentbloom Snake will spawn each time you harvest a Serpentbloom inside the instance. Note that these snakes are level 1 but the rest of the NPCs in the dungeon are higher level (scaling from approximately 8 to 31).",
3721,Mystlash Hydra,Ashenvale,Hydra,,,
3809,Ashenvale Bear,Ashenvale,Bear,,,
3810,Elder Ashenvale Bear,Ashenvale,Bear,,,
3812,Clattering Crawler,Ashenvale,Crab,,,
3814,Spined Crawler,Ashenvale,Crab,,,
3815,Blink Dragon,Ashenvale,Lesser Dragonkin,,,Lesser Dragonkin
3816,Wild Buck,Ashenvale,Stag,,,
3817,Shadowhorn Stag,Ashenvale,Stag,,,
3818,Elder Shadowhorn Stag,Ashenvale,Stag,,,
3819,Wildthorn Stalker,Ashenvale,Spider,,,
3820,Wildthorn Venomspitter,Ashenvale,Spider,,,
3821,Wildthorn Lurker,Ashenvale,Spider,,,
3823,Ghostpaw Runner,Ashenvale,Wolf,,,
3824,Ghostpaw Howler,Ashenvale,Wolf,,,
3825,Ghostpaw Alpha,Ashenvale,Wolf,,,
3864,Fel Steed,Shadowfang Keep (Dungeon),Courser,,Located in Shadowfang Keep (Dungeon). Found in the stables after the first boss.,
3868,Blood Seeker,Deepholm,Bat,True,"Spawns extremely rarely, and is reported to despawn shortly afterwards (after approximately 15 seconds).",
4005,Deepmoss Creeper,Stonetalon Mountains,Spider,,,
4006,Deepmoss Webspinner,Stonetalon Mountains,Spider,,Hangs upside down from trees.,
4007,Deepmoss Venomspitter,Stonetalon Mountains,Spider,,,
4008,Cliff Stormer,Stonetalon Mountains,Scalehide,,,
4012,Pridewing Wyvern,Stonetalon Mountains,Feathermane,,,Feathermane
4014,Pridewing Consort,Stonetalon Mountains,Feathermane,,,Feathermane
4015,Pridewing Patriarch,Stonetalon Mountains,Feathermane,True,Kill other Pridewings to get him to spawn.,Feathermane
4016,Fey Dragon,Stonetalon Mountains,Lesser Dragonkin,,"Friendly to Alliance. This fey darter appears only sporadically in the area, and is often killed by hostile NPCs. It may take you a while to find one.",Lesser Dragonkin
4017,Wily Fey Dragon,Stonetalon Mountains,Lesser Dragonkin,,"Hostile to both factions. This fey darter appears only sporadically in the area, and is often killed by hostile NPCs. It may take you a while to find one.",Lesser Dragonkin
4018,Antlered Courser,Stonetalon Mountains,Stag,,,
4019,Great Courser,Stonetalon Mountains,Stag,,,
4040,Cave Stalker,Wetlands,Spider,,,
4066,Nal'taszar,Stonetalon Mountains,Lesser Dragonkin,True,,Lesser Dragonkin
4067,Twilight Runner,Stonetalon Mountains,Cat,,,
4117,Cloud Serpent,Thousand Needles,Wind Serpent,,,
4118,Venomous Cloud Serpent,Thousand Needles,Wind Serpent,,,
4127,Hecklefang Hyena,Northern Barrens,Hyena,,,
4132,Krkk'kx,Thousand Needles,Aqiri,True,,Exotic
4166,Gazelle,Northern Barrens; Southern Barrens; Desolace; Mulgore,Stag,,,
4250,Galak Packhound,Thousand Needles,Hyena,True,"Although not technically rare, these packhounds only spawn as the companions of a rare NPC, Achellios the Banished.",
4316,Kolkar Packhound,Northern Barrens,Hyena,,,
4341,Drywallow Crocolisk,Dustwallow Marsh,Crocolisk,,,
4343,Drywallow Snapper,Dustwallow Marsh,Crocolisk,,,
4344,Mottled Drywallow Crocolisk,Dustwallow Marsh,Crocolisk,,,
4345,Drywallow Daggermaw,Dustwallow Marsh,Crocolisk,,,
4346,Noxious Flayer,Dustwallow Marsh,Wind Serpent,,,
4347,Noxious Reaver,Dustwallow Marsh,Wind Serpent,,,
4348,Noxious Shredder,Dustwallow Marsh,Wind Serpent,,,
4351,Bloodfen Raptor,Dustwallow Marsh,Raptor,,,
4352,Bloodfen Screecher,Dustwallow Marsh,Raptor,,,
4356,Bloodfen Razormaw,Dustwallow Marsh,Raptor,,,
4357,Bloodfen Lashtail,Dustwallow Marsh,Raptor,,,
4374,Strashaz Hydra,Dustwallow Marsh,Hydra,,"Phased out once you complete the ""Theramore's Fall"" scenario. Speak to Zidormi to access the pre-destruction phase. Originally this hydra just came in black. The orange variant was introduced in Patch 7.1.",
4376,Darkmist Spider,Dustwallow Marsh,Spider,,,
4378,Darkmist Recluse,Dustwallow Marsh,Spider,,,
4379,Darkmist Silkspinner,Dustwallow Marsh,Spider,,,
4380,Darkmist Widow,Dustwallow Marsh,Spider,True,,
4397,Mudrock Spikeshell,Dustwallow Marsh,Turtle,,,
4412,Darkfang Creeper,Dustwallow Marsh,Spider,,,
4414,Darkfang Venomspitter,Dustwallow Marsh,Spider,,,
4415,Giant Darkfang Spider,Dustwallow Marsh,Spider,,,
4660,Maraudine Bonepaw,Desolace,Hyena,,,
4688,Bonepaw Hyena,Desolace,Hyena,,,
4689,Starving Bonepaw,Desolace,Hyena,,,
4690,Rabid Bonepaw,Desolace,Hyena,,,
4692,Dread Swoop,Desolace,Carrion Bird,,,
4693,Dread Flyer,Desolace,Carrion Bird,,,
4694,Dread Ripper,Desolace,Carrion Bird,,,
4695,Carrion Horror,Desolace,Carrion Bird,,,
4696,Scorpashi Snapper,Desolace,Scorpid,,,
4697,Scorpashi Lasher,Desolace,Scorpid,,,
4699,Scorpashi Venomlash,Desolace,Scorpid,,,
4700,Aged Kodo,Desolace,Scalehide,,,
4701,Dying Kodo,Desolace,Scalehide,,,
4702,Ancient Kodo,Desolace,Scalehide,,,
4726,Raging Thunder Lizard,Desolace,Scalehide,,,
4727,Elder Thunder Lizard,Desolace,Scalehide,,,
4728,Gritjaw Basilisk,Desolace,Basilisk,,,
4729,Hulking Gritjaw Basilisk,Desolace,Basilisk,,,
4841,Deadmire,Dustwallow Marsh,Crocolisk,True,,
4861,Shrike Bat,Uldaman (Dungeon),Bat,,Located in Uldaman (Dungeon).,
4863,Jadespine Basilisk,Uldaman (Dungeon),Basilisk,,Located in Uldaman (Dungeon).,
4950,Spot,Dustwallow Marsh,Wolf,True,"Spot phases out once you complete the ""Theramore's Fall"" scenario but you can speak to Zidormi to be transported to the pre-destruction phase.",
5048,Deviate Adder,Wailing Caverns (Dungeon),Serpent,,Located in Wailing Caverns (Dungeon).,
5053,Deviate Crocolisk,Wailing Caverns (Dungeon),Crocolisk,,Located in Wailing Caverns (Dungeon).,
5056,Deviate Dreadfang,Wailing Caverns (Dungeon),Wind Serpent,,Located in Wailing Caverns (Dungeon).,
5225,Murk Spitter,Swamp of Sorrows,Serpent,,"This tamable serpent has a rare brown/aqua skin. Located in Hall of Bones, Swamp of Sorrows. Found outside the The Temple of Atal'Hakkar (former Sunken Temple dungeon). Go downstairs and continue the path as if you were going to enter the dungeon the old way. (Do not enter). When you reach the instance portal take the hallway going right. Follow the hallway to the end and take a right. Enter Den of the Caller and take a sharp left, almost like a u-turn and keep going down that hallway. Follow the hallway and you should be entering hall of ritual. Take a left (only way you can go). And voila, a murk spitter is there to greet you.",
5244,Zukk'ash Stinger,Feralas,Wasp,,,
5245,Zukk'ash Wasp,Feralas,Wasp,,,
5246,Zukk'ash Worker,Feralas,Aqiri,,,Exotic
5247,Zukk'ash Tunneler,Feralas,Aqiri,,,Exotic
5260,Groddoc Ape,Feralas,Gorilla,,,
5268,Ironfur Bear,Feralas,Bear,,,
5278,Sprite Darter,Feralas,Lesser Dragonkin,,"Friendly to Alliance, but can be attacked and tamed by Horde. Found in the glades west and north-west of Camp Mojache.",Lesser Dragonkin
5286,Longtooth Runner,Feralas,Wolf,,,
5291,Hakkari Frostwing,Sunken Temple (Dungeon),Wind Serpent,,"Located in The Temple of Atal'Hakkar, former Sunken Temple (Dungeon).",
5300,Frayfeather Hippogryph,Feralas,Feathermane,,Initially friendly to Alliance but players can /roar at them to make them aggressive for taming. In valley north and west of Ruins of Isildien.,Feathermane
5304,Frayfeather Stagwing,Feralas,Feathermane,,Friendly to Alliance. In valley north and west of Ruins of Isildien.,Feathermane
5307,Vale Screecher,Feralas,Wind Serpent,,,
5347,Antilus the Soarer,Feralas,Feathermane,True,,Feathermane
5349,Arash-ethis,Feralas,Wind Serpent,True,,
5350,Qirot,Feralas,Wasp,True,,
5352,Old Grizzlegut,Feralas,Bear,True,,
5356,Snarler,Feralas,Wolf,True,,
5419,Glasshide Basilisk,Tanaris,Basilisk,,,
5420,Glasshide Gazer,Tanaris,Basilisk,,,
5426,Blisterpaw Hyena,Tanaris,Hyena,,,
5427,Rabid Blisterpaw,Tanaris,Hyena,,,
5429,Fire Roc,Tanaris,Carrion Bird,,,
5430,Searing Roc,Tanaris,Carrion Bird,,,
5431,Surf Glider,Tanaris,Turtle,,,
5450,Hazzali Stinger,Tanaris,Wasp,,,
5451,Hazzali Swarmer,Tanaris,Beetle,,,
5452,Hazzali Worker,Tanaris,Aqiri,,,Exotic
5454,Hazzali Sandreaver,Tanaris,Aqiri,,,Exotic
5455,Centipaar Wasp,Tanaris,Wasp,,,
5458,Centipaar Worker,Tanaris,Aqiri,,,Exotic
5459,Centipaar Tunneler,Tanaris,Beetle,,,
5460,Centipaar Sandreaver,Tanaris,Aqiri,,,Exotic
5755,Deviate Viper,Wailing Caverns (Dungeon),Serpent,,Located in Wailing Caverns (Dungeon).,
5756,Deviate Venomwing,Wailing Caverns (Dungeon),Wind Serpent,,Located in Wailing Caverns (Dungeon).,
5762,Deviate Moccasin,Wailing Caverns (Dungeon),Serpent,,Located in Wailing Caverns (Dungeon). Three of these snakes spawn as the first wave of attackers while the Disciple of Naralex is attempting to wake Naralex.,
5807,The Rake,Mulgore,Cat,True,,
5823,Death Flayer,Durotar,Scorpid,True,,
5828,Humar The Pridelord,Northern Barrens,Cat,True,,
5829,Snort the Heckler,Southern Barrens,Hyena,True,,
5831,Swiftmane,Northern Barrens,Courser,True,,
5832,Thunderstomp,Southern Barrens,Scalehide,True,,
5833,Margol the Rager,Searing Gorge,Scalehide,True,"Margol wanders a mountain path in the far south-east corner of the zone, near a cave.",
5834,Azzere the Skyblade,Southern Barrens,Wind Serpent,True,,
5842,Takk the Leaper,Northern Barrens,Raptor,True,,
5856,Glassweb Spider,Searing Gorge,Spider,,,
5857,Searing Lava Spider,Searing Gorge,Spider,,,
5858,Greater Lava Spider,Searing Gorge,Spider,,,
5865,Dishu,Northern Barrens,Cat,True,,
5912,Deviate Faerie Dragon,Wailing Caverns (Dungeon),Lesser Dragonkin,,"Located in Wailing Caverns (Dungeon). This rarely-occurring fey darter spawns in the upper caverns in the far south-east of the instance. If it's present, head south-east, go past Skum, and follow the ramp up and around until you find it. The orange variant of this creature occurs roughly 1 in 5 of the times it spawns. You can '/tar Deviate Faerie Dragon' from just inside the dungeon entrance to check if it has spawned and if it's in the colour you're after. If not, you can leave, select ""Reset All Instances"" from your character portrait, and keep trying. Note: you can only target it from just inside the entrance, and in the south-eastern third of the dungeon; once you proceed past the NPCs at the dungeon entrance you won't be able to detect it again until you head further south-east again.",Lesser Dragonkin
5928,Sorrow Wing,Stonetalon Mountains,Feathermane,True,In some trees north-west of the lake.,Feathermane
5935,Ironeye the Invincible,Thousand Needles,Basilisk,True,,
5937,Vile Sting,Thousand Needles,Scorpid,True,,
5983,Bonepicker Felfeeder,Blasted Lands,Carrion Bird,,Flies high over most of Blasted Lands.,
5985,Snickerfang Hyena,Blasted Lands,Hyena,,,
5990,Redstone Basilisk,Blasted Lands,Basilisk,,,
5992,Ashmane Boar,Blasted Lands,Boar,,,
6021,Boar Spirit,Razorfen Kraul (Dungeon),Boar,,Located in Razorfen Kraul (Dungeon). Behind the shield that goes down after you kill Groyat.,
